Vintage Year,Pooled Return,Arithmetic Mean,Median,Upper Quartile,Lower Quartile,Number of Funds
1993,0.00 0.00 0.00 0.00 0.00 25
1994,0.00 0.00 0.00 0.00 0.00 21
1995,0.00 0.00 0.00 0.00 0.00 34
1996,0.00 0.00 0.00 0.00 0.00 36
1997,0.00 0.01 0.00 0.00 0.00 51
1998,0.03 0.03 0.00 0.00 0.00 55
1999,0.01 0.02 0.00 0.01 0.00 52
2000,0.03 0.10 0.00 0.04 0.00 78
2001,0.10 0.04 0.00 0.04 0.00 32
2002,0.06 0.06 0.01 0.11 0.00 34
2003,0.07 0.09 0.01 0.13 0.00 35
2004,0.09 0.13 0.04 0.16 0.01 68
2005,0.15 0.20 0.11 0.29 0.03 95
2006,0.32 0.35 0.25 0.45 0.05 83
2007,0.47 0.43 0.34 0.63 0.14 98
2008,0.51 0.53 0.51 0.71 0.29 82
2009,0.94 0.74 0.67 0.91 0.46 33
2010,0.72 0.90 0.70 1.26 0.47 34
2011,0.94 0.94 0.98 1.14 0.66 72
2012,1.09 0.96 1.01 1.22 0.79 61
2013,1.08 1.05 1.06 1.18 0.90 75
2014,1.15 1.12 1.10 1.23 0.98 78
2015,1.09 1.04 1.05 1.16 0.91 73
2016,1.03 0.99 0.99 1.05 0.92 55
