Vintage Year,Pooled Return (%),Arithmetic Mean (%),Median (%),Equal-Weighted Pooled Return (%),Upper Quartile (%),Lower Quartile (%),Standard Deviation (%),DPI,RVPI,TVPI,Number of Funds
1988,18.88,14.26,11.87,14.68,21.65,6.61,13.79,2.42,0.04,2.46,26
1989,19.16,17.05,13.31,18.86,28.80,7.75,14.46,2.59,0.00,2.59,37
1990,33.11,24.07,21.54,26.25,31.19,14.28,19.60,3.15,0.00,3.15,17
1991,27.89,24.02,18.56,25.67,27.86,11.64,20.33,3.17,0.00,3.17,17
1992,32.60,28.23,19.65,38.01,35.86,10.85,30.55,3.09,0.00,3.09,22
1993,46.71,30.43,18.83,41.08,46.49,12.13,31.10,4.13,0.00,4.13,36
1994,59.31,34.16,25.87,43.43,48.55,6.76,47.72,5.41,0.00,5.41,41
1995,88.48,56.60,41.65,77.99,80.62,21.54,58.50,6.07,0.00,6.07,35
1996,100.83,60.09,33.24,88.17,76.00,6.21,78.72,4.90,0.01,4.91,41
1997,91.80,55.12,11.56,73.33,63.73,-1.60,102.03,3.09,0.00,3.10,71
1998,11.88,16.82,-0.26,14.29,15.19,-6.05,71.43,1.48,0.02,1.50,81
1999,-0.89,-3.59,-3.76,-1.42,3.20,-11.58,18.11,0.91,0.03,0.94,110
2000,0.73,-2.32,-1.43,0.25,4.87,-6.58,12.47,0.95,0.10,1.05,156
2001,2.72,0.27,1.98,4.15,7.23,-2.85,18.70,1.06,0.13,1.19,56
2002,-0.49,0.23,-0.13,2.58,5.57,-6.00,8.90,0.85,0.12,0.97,33
2003,9.18,0.21,1.60,5.54,8.50,-6.69,19.32,1.52,0.22,1.74,40
2004,8.33,2.62,2.75,8.09,8.85,-4.16,21.23,1.27,0.39,1.66,67
2005,7.14,2.73,3.67,6.95,10.16,-1.21,17.31,0.99,0.56,1.54,65
2006,8.80,4.41,7.05,7.12,13.03,-3.16,11.94,1.07,0.59,1.66,84
2007,15.41,14.14,11.55,15.84,20.52,5.20,15.41,1.25,0.82,2.06,69
2008,11.86,9.38,7.55,11.12,17.63,1.01,12.94,0.84,0.84,1.67,66
2009,15.37,13.76,11.58,14.32,19.06,6.73,12.44,0.87,1.01,1.88,23
2010,27.75,18.98,14.91,23.40,23.43,9.52,18.10,0.95,1.85,2.80,49
2011,19.67,12.74,13.62,15.76,23.72,1.32,15.74,0.53,1.43,1.96,45
2012,17.69,13.71,12.56,15.48,19.11,5.65,13.94,0.28,1.45,1.72,57
2013,19.31,21.16,13.36,16.15,20.47,6.80,53.26,0.20,1.30,1.51,57
2014,14.36,13.74,9.91,13.80,17.14,4.85,29.58,0.08,1.22,1.30,80
2015,13.30,14.13,7.49,11.16,20.42,2.04,39.39,0.02,1.15,1.17,58
2016,2.18,-0.42,-1.19,11.33,8.77,-15.05,21.21,0.00,1.01,1.01,66
