Vintage,No. of Funds (Pooled),Called (%),Dist (%) DPI,Value (%) RVPI,Multiple (X) IRR (%)
2018,-,23.8,0.0,95.3,0.95,n/a
2017,49,35.9,5.6,102.1,1.08,n/m
2016,48,60.3,6.0,109.9,1.16,13.4
2015,41,75.6,15.7,116.4,1.32,14.1
2014,37,86.0,14.0,146.0,1.60,18.2
2013,30,88.1,53.8,112.9,1.67,19.9
2012,25,95.7,66.9,120.1,1.86,17.1
2011,27,91.5,88.7,110.0,1.99,16.7
2010,23,96.1,90.2,89.4,1.80,14.1
2009,18,99.6,83.9,73.8,1.58,12.7
2008,41,97.9,93.1,57.2,1.49,9.8
2007,53,97.7,131.0,51.4,1.83,13.8
2006,45,97.7,111.8,32.3,1.44,5.0
2005,34,98.4,116.9,41.2,1.57,6.3
2004,28,98.2,116.1,30.4,1.47,4.2
2003,19,98.9,105.6,12.4,1.20,2.2
2002,26,103.2,114.9,7.8,1.23,3.6
2001,43,98.9,123.8,7.2,1.31,4.1
2000,79,98.1,93.3,7.6,1.01,-0.4
1999,38,97.9,82.4,2.6,0.85,-4.2
1998,28,100.0,152.2,1.0,1.53,27.2
